"GeneID","Symbol","Ensembl","Entrez"
"ENSG00000187098","MITF","ENSG00000187098","4286"
"ENSG00000165029","ABCA1","ENSG00000165029","19"
"ENSG00000118503","TNFAIP3","ENSG00000118503","7128"
"ENSG00000204839","MROH6","ENSG00000204839","642475"
"ENSG00000123095","BHLHE41","ENSG00000123095","79365"
"ENSG00000113742","CPEB4","ENSG00000113742","80315"
"ENSG00000153094","BCL2L11","ENSG00000153094","10018"
"ENSG00000144824","PHLDB2","ENSG00000144824","90102"
"ENSG00000142871","CCN1","ENSG00000142871","3491"
"ENSG00000078081","LAMP3","ENSG00000078081","27074"
"ENSG00000139112","GABARAPL1","ENSG00000139112","23710"
"ENSG00000146411","SLC2A12","ENSG00000146411","154091"
"ENSG00000019485","PRDM11","ENSG00000019485","56981"
"ENSG00000104081","BMF","ENSG00000104081","90427"
"ENSG00000105290","APLP1","ENSG00000105290","333"
"ENSG00000105974","CAV1","ENSG00000105974","857"
"ENSG00000120885","CLU","ENSG00000120885","1191"
"ENSG00000184205","TSPYL2","ENSG00000184205","64061"
"ENSG00000162645","GBP2","ENSG00000162645","2634"
"ENSG00000128590","DNAJB9","ENSG00000128590","4189"
"ENSG00000151117","TMEM86A","ENSG00000151117","144110"
"ENSG00000134954","ETS1","ENSG00000134954","2113"
"ENSG00000111674","ENO2","ENSG00000111674","2026"
"ENSG00000285069","SESN2","ENSG00000285069","83667"
"ENSG00000196083","IL1RAP","ENSG00000196083","3556"
"ENSG00000126368","NR1D1","ENSG00000126368","9572"
"ENSG00000010404","IDS","ENSG00000010404","3423"
"ENSG00000164266","SPINK1","ENSG00000164266","6690"
"ENSG00000117707","PROX1","ENSG00000117707","5629"
"ENSG00000183696","UPP1","ENSG00000183696","7378"
"ENSG00000160712","IL6R","ENSG00000160712","3570"
"ENSG00000162772","ATF3","ENSG00000162772","467"
"ENSG00000099250","NRP1","ENSG00000099250","8829"
"ENSG00000116991","SIPA1L2","ENSG00000116991","57568"
"ENSG00000277075","H2AC8","ENSG00000277075","3012"
"ENSG00000281935","DNAH10","ENSG00000281935","196385"
"ENSG00000145632","PLK2","ENSG00000145632","10769"
"ENSG00000047346","ATOSA","ENSG00000047346","56204"
"ENSG00000223573","TINCR","ENSG00000223573","257000"
"ENSG00000128564","VGF","ENSG00000128564","7425"
"ENSG00000122884","P4HA1","ENSG00000122884","5033"
"ENSG00000150995","ITPR1","ENSG00000150995","3708"
"ENSG00000089163","SIRT4","ENSG00000089163","23409"
"ENSG00000100292","HMOX1","ENSG00000100292","3162"
"ENSG00000167550","RHEBL1","ENSG00000167550","121268"
"ENSG00000147883","CDKN2B","ENSG00000147883","1030"
"ENSG00000197496","SLC2A10","ENSG00000197496","81031"
"ENSG00000137449","CPEB2","ENSG00000137449","132864"
"ENSG00000243414","TICAM2","ENSG00000243414","353376"
"ENSG00000142875","PRKACB","ENSG00000142875","5567"
"ENSG00000204947","ZNF425","ENSG00000204947","155054"
"ENSG00000128965","CHAC1","ENSG00000128965","79094"
"ENSG00000079308","TNS1","ENSG00000079308","7145"
"ENSG00000169429","CXCL8","ENSG00000169429","3576"
"ENSG00000288455","SEMA7A","ENSG00000288455","8482"
"ENSG00000172748","ZNF596","ENSG00000172748","169270"
"ENSG00000135740","SLC9A5","ENSG00000135740","6553"
"ENSG00000122591","HYCC1","ENSG00000122591","84668"
"ENSG00000143320","CRABP2","ENSG00000143320","1382"
"ENSG00000090339","ICAM1","ENSG00000090339","3383"
"ENSG00000167779","IGFBP6","ENSG00000167779","3489"
"ENSG00000173258","ZNF483","ENSG00000173258","158399"
"ENSG00000107159","CA9","ENSG00000107159","768"
"ENSG00000149564","ESAM","ENSG00000149564","90952"
"ENSG00000112599","GUCA1B","ENSG00000112599","2979"
"ENSG00000189195","BTBD8","ENSG00000189195","284697"
"ENSG00000135338","LCA5","ENSG00000135338","167691"
"ENSG00000143434","SEMA6C","ENSG00000143434","10500"
"ENSG00000185245","GP1BA","ENSG00000185245","2811"
"ENSG00000183486","MX2","ENSG00000183486","4600"
"ENSG00000104267","CA2","ENSG00000104267","760"
"ENSG00000283154","IQCJ-SCHIP1","ENSG00000283154","100505385"
"ENSG00000151967","SCHIP1","ENSG00000151967","29970"
"ENSG00000143248","RGS5","ENSG00000143248","8490"
"ENSG00000104419","NDRG1","ENSG00000104419","10397"
"ENSG00000228570","NUTM2E","ENSG00000228570","283008"
"ENSG00000158373","H2BC5","ENSG00000158373","3017"
"ENSG00000019582","CD74","ENSG00000019582","972"
"ENSG00000179240","GVQW3","ENSG00000179240","100506127"
"ENSG00000188322","SBK1","ENSG00000188322","388228"
"ENSG00000214562","NUTM2D","ENSG00000214562","728130"
"ENSG00000203780","FANK1","ENSG00000203780","92565"
"ENSG00000159167","STC1","ENSG00000159167","6781"
